unit_id,facility_id,blood_group,component,quantity_ml,collection_date,expiry_date,days_remaining,status,is_near_expiry
UNIT01100,FAC012,O+,Whole Blood,442,2026-07-10,2026-08-14,13,Available,False
UNIT01101,FAC012,AB+,Whole Blood,393,2026-07-04,2026-08-08,7,Available,True
UNIT01102,FAC012,O+,Plasma,241,2025-08-18,2026-08-18,17,Available,True
UNIT01103,FAC012,A+,RBC,284,2026-07-12,2026-08-16,15,Reserved,False
UNIT01104,FAC012,O+,Plasma,247,2025-11-02,2026-11-02,93,Available,False
UNIT01105,FAC012,A+,Platelets,58,2026-07-29,2026-08-03,2,Available,False
UNIT01106,FAC012,B-,RBC,300,2026-07-14,2026-08-18,17,Available,False
UNIT01107,FAC012,B+,RBC,274,2026-07-22,2026-08-26,25,Available,False
UNIT01108,FAC012,O+,RBC,288,2026-07-14,2026-08-18,17,Available,False
UNIT01109,FAC012,A+,Platelets,50,2026-07-29,2026-08-03,2,Available,False
UNIT01110,FAC012,B+,Whole Blood,407,2026-07-16,2026-08-20,19,Available,False
UNIT01111,FAC012,O+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT01112,FAC012,B+,Whole Blood,406,2026-07-06,2026-08-10,9,Reserved,False
UNIT01113,FAC012,B+,Plasma,221,2025-08-26,2026-08-26,25,Available,True
UNIT01114,FAC012,O+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT01115,FAC012,O+,RBC,274,2026-07-24,2026-08-28,27,Available,False
UNIT01116,FAC012,O+,Whole Blood,437,2026-07-31,2026-09-04,34,Reserved,False
UNIT01117,FAC012,O+,Whole Blood,363,2026-07-21,2026-08-25,24,Reserved,False
UNIT01118,FAC012,B+,Platelets,60,2026-08-01,2026-08-06,5,Available,False
UNIT01119,FAC012,O+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT01120,FAC012,B+,Plasma,210,2025-12-20,2026-12-20,141,Available,False
UNIT01121,FAC012,B+,Whole Blood,421,2026-06-25,2026-07-30,-2,Expired,False
UNIT01122,FAC012,B+,RBC,267,2026-07-15,2026-08-19,18,Available,False
UNIT01123,FAC012,A+,Platelets,54,2026-07-29,2026-08-03,2,Available,False
UNIT01124,FAC012,AB-,Platelets,50,2026-07-30,2026-08-04,3,Available,False
UNIT01125,FAC012,B+,Whole Blood,404,2026-07-26,2026-08-30,29,Available,False
UNIT01126,FAC012,B+,Plasma,212,2026-01-09,2027-01-09,161,Available,False
UNIT01127,FAC012,O+,Whole Blood,446,2026-06-23,2026-07-28,-4,Expired,False
UNIT01128,FAC012,O+,RBC,294,2026-07-27,2026-08-31,30,Available,False
UNIT01129,FAC012,B+,Plasma,249,2026-04-11,2027-04-11,253,Available,False
UNIT01130,FAC012,B+,RBC,259,2026-06-26,2026-07-31,-1,Expired,False
UNIT01131,FAC012,O+,Platelets,60,2026-07-27,2026-08-01,0,Available,True
UNIT01132,FAC012,B+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT01133,FAC012,A+,Plasma,249,2026-02-28,2027-02-28,211,Available,False
UNIT01134,FAC012,B+,RBC,295,2026-07-16,2026-08-20,19,Available,False
UNIT01135,FAC012,O+,Platelets,54,2026-07-29,2026-08-03,2,Available,False
UNIT01136,FAC012,B-,Plasma,215,2026-01-18,2027-01-18,170,Available,False
UNIT01137,FAC012,AB+,Plasma,244,2026-03-22,2027-03-22,233,Available,False
UNIT01138,FAC012,AB+,Plasma,244,2026-01-26,2027-01-26,178,Available,False
UNIT01139,FAC012,B+,Whole Blood,412,2026-07-08,2026-08-12,11,Available,False
UNIT01140,FAC012,A+,Plasma,228,2026-04-07,2027-04-07,249,Available,False
UNIT01141,FAC012,A+,Plasma,238,2026-06-13,2027-06-13,316,Available,False
UNIT01142,FAC012,O+,Plasma,203,2026-04-06,2027-04-06,248,Available,False
UNIT01143,FAC012,A+,RBC,290,2026-07-01,2026-08-05,4,Reserved,False
UNIT01144,FAC012,O+,RBC,268,2026-07-11,2026-08-15,14,Available,False
UNIT01145,FAC012,B+,Plasma,220,2026-05-10,2027-05-10,282,Available,False
UNIT01146,FAC012,B+,Platelets,55,2026-07-27,2026-08-01,0,Reserved,False
UNIT01147,FAC012,O-,Whole Blood,366,2026-07-13,2026-08-17,16,Available,False
UNIT01148,FAC012,O+,Whole Blood,356,2026-07-20,2026-08-24,23,Available,False
UNIT01149,FAC012,A+,Platelets,50,2026-07-31,2026-08-05,4,Available,False
UNIT01150,FAC012,B+,Plasma,225,2026-01-06,2027-01-06,158,Available,False
UNIT01151,FAC012,B+,RBC,262,2026-07-11,2026-08-15,14,Available,False
UNIT01152,FAC012,AB+,Platelets,60,2026-07-28,2026-08-02,1,Available,True
UNIT01153,FAC012,A+,Whole Blood,442,2026-07-27,2026-08-31,30,Available,False
UNIT01154,FAC012,O+,Plasma,208,2025-06-22,2026-06-22,-40,Expired,False
UNIT01155,FAC012,A+,Plasma,244,2025-09-24,2026-09-24,54,Reserved,False
UNIT01156,FAC012,AB+,Plasma,227,2026-01-06,2027-01-06,158,Available,False
UNIT01157,FAC012,AB+,Plasma,227,2026-03-22,2027-03-22,233,Available,False
UNIT01158,FAC012,AB+,Plasma,232,2025-10-01,2026-10-01,61,Available,True
UNIT01159,FAC012,B+,Platelets,57,2026-08-01,2026-08-06,5,Available,False
UNIT01160,FAC012,O+,Whole Blood,360,2026-07-14,2026-08-18,17,Reserved,False
UNIT01161,FAC012,A+,Platelets,59,2026-07-30,2026-08-04,3,Available,False
UNIT01162,FAC012,A+,Plasma,242,2026-01-04,2027-01-04,156,Available,False
UNIT01163,FAC012,A+,Platelets,58,2026-07-29,2026-08-03,2,Reserved,False
UNIT01164,FAC012,O+,Plasma,236,2026-03-02,2027-03-02,213,Reserved,False
UNIT01165,FAC012,O+,Plasma,218,2026-03-31,2027-03-31,242,Reserved,False
UNIT01166,FAC012,B+,Whole Blood,388,2026-07-10,2026-08-14,13,Available,False
UNIT01167,FAC012,O+,Platelets,52,2026-07-31,2026-08-05,4,Available,False
UNIT01168,FAC012,AB+,Platelets,54,2026-07-28,2026-08-02,1,Available,True
UNIT01169,FAC012,B+,RBC,267,2026-07-16,2026-08-20,19,Available,False
UNIT01170,FAC012,B+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT01171,FAC012,AB+,RBC,261,2026-07-11,2026-08-15,14,Available,False
UNIT01172,FAC012,B+,RBC,252,2026-07-17,2026-08-21,20,Available,False
UNIT01173,FAC012,B+,Whole Blood,426,2026-06-24,2026-07-29,-3,Expired,False
UNIT01174,FAC012,O+,RBC,276,2026-07-03,2026-08-07,6,Available,True
UNIT01175,FAC012,O+,RBC,260,2026-07-11,2026-08-15,14,Available,False
UNIT01176,FAC012,A+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT01177,FAC012,A+,Plasma,247,2026-03-18,2027-03-18,229,Available,False
UNIT01178,FAC012,O+,RBC,280,2026-07-19,2026-08-23,22,Available,False
UNIT01179,FAC012,B+,Plasma,228,2026-07-12,2027-07-12,345,Reserved,False
UNIT01180,FAC012,B+,Platelets,50,2026-07-27,2026-08-01,0,Available,True
UNIT01181,FAC012,A+,Platelets,60,2026-07-27,2026-08-01,0,Available,True
UNIT01182,FAC012,O+,Platelets,54,2026-07-31,2026-08-05,4,Available,False
UNIT01183,FAC012,O+,Plasma,215,2026-02-28,2027-02-28,211,Available,False
UNIT01184,FAC012,O+,RBC,261,2026-07-15,2026-08-19,18,Available,False
UNIT01185,FAC012,B+,Whole Blood,351,2026-07-10,2026-08-14,13,Available,False
UNIT01186,FAC012,B+,Whole Blood,442,2026-07-10,2026-08-14,13,Available,False
UNIT01187,FAC012,B+,RBC,253,2026-07-29,2026-09-02,32,Available,False
UNIT01188,FAC012,O+,RBC,290,2026-06-26,2026-07-31,-1,Expired,False
UNIT01189,FAC012,A+,Whole Blood,398,2026-07-27,2026-08-31,30,Available,False
UNIT01190,FAC012,O+,RBC,266,2026-06-30,2026-08-04,3,Available,True
UNIT01191,FAC012,B+,Whole Blood,385,2026-07-12,2026-08-16,15,Reserved,False
UNIT01192,FAC012,O+,Platelets,54,2026-07-31,2026-08-05,4,Available,False
UNIT01193,FAC012,O+,Plasma,216,2026-03-21,2027-03-21,232,Reserved,False
UNIT01194,FAC012,O+,Platelets,53,2026-07-31,2026-08-05,4,Available,False
UNIT01195,FAC012,AB-,RBC,284,2026-07-11,2026-08-15,14,Available,False
UNIT01196,FAC012,O+,RBC,278,2026-07-13,2026-08-17,16,Available,False
UNIT01197,FAC012,O+,Whole Blood,443,2026-07-29,2026-09-02,32,Available,False
UNIT01198,FAC012,B+,Plasma,241,2026-07-07,2027-07-07,340,Available,False
UNIT01199,FAC012,O+,Whole Blood,439,2026-07-11,2026-08-15,14,Available,False
UNIT01200,FAC012,B+,Plasma,249,2026-01-23,2027-01-23,175,Available,False
UNIT01201,FAC012,B+,Plasma,250,2026-03-16,2027-03-16,227,Available,False
UNIT01202,FAC012,A+,RBC,299,2026-07-31,2026-09-04,34,Reserved,False
UNIT01203,FAC012,B+,Platelets,50,2026-07-30,2026-08-04,3,Available,False
UNIT01204,FAC012,O+,Whole Blood,393,2026-07-20,2026-08-24,23,Available,False
UNIT01205,FAC012,A+,Plasma,212,2025-11-13,2026-11-13,104,Available,False
UNIT01206,FAC012,A+,Whole Blood,434,2026-06-24,2026-07-29,-3,Expired,False
UNIT01207,FAC012,A+,Plasma,222,2025-09-01,2026-09-01,31,Available,True
UNIT01208,FAC012,B+,Plasma,212,2025-11-24,2026-11-24,115,Available,False
UNIT01209,FAC012,A+,RBC,284,2026-07-16,2026-08-20,19,Available,False
UNIT01210,FAC012,O+,Plasma,228,2026-02-05,2027-02-05,188,Available,False
UNIT01211,FAC012,O+,Whole Blood,450,2026-07-29,2026-09-02,32,Available,False
UNIT01212,FAC012,O+,Plasma,242,2026-05-29,2027-05-29,301,Available,False
UNIT01213,FAC012,B+,RBC,254,2026-07-08,2026-08-12,11,Available,False
UNIT01214,FAC012,A+,RBC,289,2026-07-16,2026-08-20,19,Available,False
UNIT01215,FAC012,A+,RBC,269,2026-07-30,2026-09-03,33,Available,False
UNIT01216,FAC012,O+,Whole Blood,425,2026-07-17,2026-08-21,20,Available,False
UNIT01217,FAC012,A+,Whole Blood,428,2026-07-26,2026-08-30,29,Available,False
UNIT01218,FAC012,A-,RBC,297,2026-07-18,2026-08-22,21,Available,False
UNIT01219,FAC012,O+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT01220,FAC012,A+,RBC,271,2026-07-07,2026-08-11,10,Available,False
UNIT01221,FAC012,A+,Platelets,55,2026-07-31,2026-08-05,4,Available,False
UNIT01222,FAC012,AB+,Plasma,208,2026-04-28,2027-04-28,270,Available,False
UNIT01223,FAC012,A+,Plasma,231,2025-11-05,2026-11-05,96,Available,False
UNIT01224,FAC012,A+,Whole Blood,433,2026-07-24,2026-08-28,27,Available,False
UNIT01225,FAC012,AB+,Platelets,57,2026-07-30,2026-08-04,3,Available,False
UNIT01226,FAC012,O+,RBC,278,2026-07-25,2026-08-29,28,Available,False
UNIT01227,FAC012,B+,RBC,261,2026-07-13,2026-08-17,16,Available,False
UNIT01228,FAC012,O+,Whole Blood,394,2026-07-12,2026-08-16,15,Available,False
UNIT01229,FAC012,B+,RBC,256,2026-07-24,2026-08-28,27,Reserved,False
UNIT01230,FAC012,O+,RBC,263,2026-07-17,2026-08-21,20,Available,False
UNIT01231,FAC012,B+,RBC,280,2026-07-26,2026-08-30,29,Available,False
UNIT01232,FAC012,B+,RBC,291,2026-07-11,2026-08-15,14,Available,False
UNIT01233,FAC013,A+,Whole Blood,380,2026-07-17,2026-08-21,20,Available,False
UNIT01234,FAC013,B+,Platelets,60,2026-07-29,2026-08-03,2,Available,False
UNIT01235,FAC013,AB+,Whole Blood,362,2026-07-06,2026-08-10,9,Available,False
UNIT01236,FAC013,A+,RBC,264,2026-07-02,2026-08-06,5,Available,True
UNIT01237,FAC013,A+,Platelets,52,2026-07-30,2026-08-04,3,Reserved,False
UNIT01238,FAC013,A+,Platelets,52,2026-07-30,2026-08-04,3,Available,False
UNIT01239,FAC013,B+,Whole Blood,375,2026-07-12,2026-08-16,15,Reserved,False
UNIT01240,FAC013,A+,Whole Blood,367,2026-07-10,2026-08-14,13,Available,False
UNIT01241,FAC013,A+,RBC,271,2026-07-17,2026-08-21,20,Available,False
UNIT01242,FAC013,A+,RBC,290,2026-07-13,2026-08-17,16,Available,False
UNIT01243,FAC013,AB+,Whole Blood,379,2026-07-14,2026-08-18,17,Available,False
UNIT01244,FAC013,A+,Platelets,59,2026-07-30,2026-08-04,3,Reserved,False
UNIT01245,FAC013,B+,RBC,297,2026-07-22,2026-08-26,25,Available,False
UNIT01246,FAC013,B-,Whole Blood,425,2026-07-21,2026-08-25,24,Available,False
UNIT01247,FAC013,AB+,Platelets,50,2026-07-27,2026-08-01,0,Available,True
UNIT01248,FAC013,A+,RBC,277,2026-07-08,2026-08-12,11,Available,False
UNIT01249,FAC013,B+,RBC,256,2026-07-05,2026-08-09,8,Available,False
UNIT01250,FAC013,B+,Whole Blood,438,2026-07-27,2026-08-31,30,Available,False
UNIT01251,FAC013,B+,Whole Blood,432,2026-07-25,2026-08-29,28,Available,False
UNIT01252,FAC013,AB-,Whole Blood,440,2026-07-17,2026-08-21,20,Available,False
UNIT01253,FAC013,B+,Platelets,57,2026-07-29,2026-08-03,2,Available,False
UNIT01254,FAC013,B+,Whole Blood,397,2026-07-01,2026-08-05,4,Available,True
UNIT01255,FAC013,B+,Platelets,51,2026-07-29,2026-08-03,2,Available,False
UNIT01256,FAC013,B+,Platelets,56,2026-07-30,2026-08-04,3,Available,False
UNIT01257,FAC013,B+,Platelets,53,2026-07-27,2026-08-01,0,Available,True
UNIT01258,FAC013,B+,Whole Blood,357,2026-07-12,2026-08-16,15,Available,False
UNIT01259,FAC013,B+,Platelets,56,2026-07-30,2026-08-04,3,Available,False
UNIT01260,FAC013,A-,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT01261,FAC013,B+,Whole Blood,367,2026-07-14,2026-08-18,17,Available,False
UNIT01262,FAC013,AB+,Whole Blood,444,2026-07-15,2026-08-19,18,Available,False
UNIT01263,FAC013,AB+,Platelets,53,2026-07-28,2026-08-02,1,Available,True
UNIT01264,FAC013,A+,RBC,253,2026-07-16,2026-08-20,19,Available,False
UNIT01265,FAC013,A+,RBC,257,2026-07-17,2026-08-21,20,Available,False
UNIT01266,FAC013,B+,Platelets,54,2026-07-29,2026-08-03,2,Available,False
UNIT01267,FAC013,B+,RBC,254,2026-07-05,2026-08-09,8,Reserved,False
UNIT01268,FAC013,A+,RBC,261,2026-07-27,2026-08-31,30,Available,False
UNIT01269,FAC013,A+,Whole Blood,439,2026-07-26,2026-08-30,29,Available,False
UNIT01270,FAC013,A+,Whole Blood,430,2026-07-01,2026-08-05,4,Available,True
UNIT01271,FAC013,A+,RBC,284,2026-06-24,2026-07-29,-3,Expired,False
UNIT01272,FAC013,AB+,RBC,291,2026-07-20,2026-08-24,23,Available,False
UNIT01273,FAC013,A+,Whole Blood,379,2026-07-28,2026-09-01,31,Available,False
UNIT01274,FAC013,B+,Platelets,55,2026-07-29,2026-08-03,2,Available,False
UNIT01275,FAC013,B+,RBC,283,2026-07-17,2026-08-21,20,Available,False
UNIT01276,FAC013,B+,RBC,300,2026-07-17,2026-08-21,20,Available,False
UNIT01277,FAC013,A+,RBC,268,2026-07-23,2026-08-27,26,Available,False
UNIT01278,FAC013,B+,Whole Blood,371,2026-07-25,2026-08-29,28,Available,False
UNIT01279,FAC013,B+,Whole Blood,372,2026-07-09,2026-08-13,12,Available,False
UNIT01280,FAC013,B+,Platelets,52,2026-07-27,2026-08-01,0,Available,True
UNIT01281,FAC013,A+,Whole Blood,423,2026-06-20,2026-07-25,-7,Expired,False
UNIT01282,FAC013,A+,RBC,295,2026-07-20,2026-08-24,23,Available,False
UNIT01283,FAC013,A+,RBC,259,2026-06-23,2026-07-28,-4,Expired,False
UNIT01284,FAC013,A-,Platelets,58,2026-07-26,2026-07-31,-1,Expired,False
UNIT01285,FAC013,A+,Whole Blood,368,2026-07-19,2026-08-23,22,Available,False
UNIT01286,FAC013,AB+,RBC,284,2026-07-25,2026-08-29,28,Reserved,False
UNIT01287,FAC013,AB+,RBC,268,2026-07-11,2026-08-15,14,Available,False
UNIT01288,FAC013,AB+,Platelets,57,2026-07-29,2026-08-03,2,Available,False
UNIT01289,FAC013,A+,Whole Blood,367,2026-07-08,2026-08-12,11,Reserved,False
UNIT01290,FAC013,B+,Whole Blood,378,2026-07-21,2026-08-25,24,Available,False
UNIT01291,FAC013,B+,Whole Blood,374,2026-07-21,2026-08-25,24,Available,False
UNIT01292,FAC013,B+,Whole Blood,375,2026-07-06,2026-08-10,9,Available,False
UNIT01293,FAC013,A+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT01294,FAC013,AB+,RBC,288,2026-07-24,2026-08-28,27,Available,False
UNIT01295,FAC013,B+,Whole Blood,368,2026-06-29,2026-08-03,2,Available,True
UNIT01296,FAC013,B+,RBC,268,2026-07-20,2026-08-24,23,Available,False
UNIT01297,FAC013,A+,RBC,285,2026-06-23,2026-07-28,-4,Expired,False
UNIT01298,FAC013,A+,Platelets,56,2026-07-28,2026-08-02,1,Available,True
UNIT01299,FAC013,B+,RBC,277,2026-07-25,2026-08-29,28,Available,False
UNIT01300,FAC013,B+,RBC,255,2026-07-25,2026-08-29,28,Available,False
UNIT01301,FAC013,A+,RBC,271,2026-07-17,2026-08-21,20,Available,False
UNIT01302,FAC013,A+,Platelets,56,2026-07-28,2026-08-02,1,Available,True
UNIT01303,FAC013,B+,RBC,295,2026-07-19,2026-08-23,22,Available,False
UNIT01304,FAC013,B+,Whole Blood,387,2026-07-24,2026-08-28,27,Available,False
UNIT01305,FAC013,B+,Whole Blood,424,2026-07-04,2026-08-08,7,Available,True
UNIT01306,FAC013,A+,Platelets,50,2026-07-29,2026-08-03,2,Available,False
UNIT01307,FAC013,A+,RBC,290,2026-06-25,2026-07-30,-2,Expired,False
UNIT01308,FAC013,B+,Platelets,52,2026-07-29,2026-08-03,2,Available,False
UNIT01309,FAC013,B+,Platelets,54,2026-07-29,2026-08-03,2,Available,False
UNIT01310,FAC013,B+,Whole Blood,411,2026-07-13,2026-08-17,16,Available,False
UNIT01311,FAC013,B+,RBC,294,2026-07-12,2026-08-16,15,Available,False
UNIT01312,FAC013,B+,RBC,266,2026-07-16,2026-08-20,19,Available,False
UNIT01313,FAC013,A+,Whole Blood,438,2026-07-25,2026-08-29,28,Available,False
UNIT01314,FAC014,O+,Platelets,52,2026-07-31,2026-08-05,4,Available,False
UNIT01315,FAC014,O+,RBC,269,2026-07-04,2026-08-08,7,Available,True
UNIT01316,FAC014,B+,Platelets,59,2026-07-29,2026-08-03,2,Available,False
UNIT01317,FAC014,B+,Whole Blood,397,2026-07-30,2026-09-03,33,Available,False
UNIT01318,FAC014,O+,RBC,256,2026-07-20,2026-08-24,23,Reserved,False
UNIT01319,FAC014,B+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT01320,FAC014,O+,Platelets,51,2026-07-28,2026-08-02,1,Available,True
UNIT01321,FAC014,AB+,Whole Blood,352,2026-07-26,2026-08-30,29,Available,False
UNIT01322,FAC014,AB+,RBC,278,2026-07-10,2026-08-14,13,Available,False
UNIT01323,FAC014,O+,Platelets,52,2026-07-30,2026-08-04,3,Reserved,False
UNIT01324,FAC014,O+,Whole Blood,366,2026-07-08,2026-08-12,11,Available,False
UNIT01325,FAC014,O+,Whole Blood,376,2026-07-10,2026-08-14,13,Available,False
UNIT01326,FAC014,B+,Whole Blood,364,2026-07-18,2026-08-22,21,Available,False
UNIT01327,FAC014,B+,RBC,256,2026-07-07,2026-08-11,10,Available,False
UNIT01328,FAC014,B+,Platelets,51,2026-07-30,2026-08-04,3,Available,False
UNIT01329,FAC014,O+,Whole Blood,446,2026-07-27,2026-08-31,30,Available,False
UNIT01330,FAC014,B+,Whole Blood,375,2026-06-28,2026-08-02,1,Available,True
UNIT01331,FAC014,B+,RBC,297,2026-07-29,2026-09-02,32,Available,False
UNIT01332,FAC014,O+,Platelets,58,2026-07-30,2026-08-04,3,Available,False
UNIT01333,FAC014,O+,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT01334,FAC014,O+,Whole Blood,386,2026-07-15,2026-08-19,18,Available,False
UNIT01335,FAC014,B+,Platelets,53,2026-08-01,2026-08-06,5,Available,False
UNIT01336,FAC014,O+,Platelets,52,2026-07-30,2026-08-04,3,Available,False
UNIT01337,FAC014,AB+,Whole Blood,398,2026-07-24,2026-08-28,27,Available,False
UNIT01338,FAC014,AB+,Platelets,55,2026-07-31,2026-08-05,4,Available,False
UNIT01339,FAC014,B+,Whole Blood,396,2026-07-16,2026-08-20,19,Available,False
UNIT01340,FAC014,O+,Platelets,57,2026-07-29,2026-08-03,2,Available,False
UNIT01341,FAC014,B+,RBC,293,2026-07-17,2026-08-21,20,Available,False
UNIT01342,FAC014,O-,RBC,277,2026-07-23,2026-08-27,26,Available,False
UNIT01343,FAC014,B+,Whole Blood,436,2026-06-30,2026-08-04,3,Available,True
UNIT01344,FAC014,B+,Whole Blood,412,2026-06-18,2026-07-23,-9,Expired,False
UNIT01345,FAC014,O+,RBC,255,2026-07-18,2026-08-22,21,Available,False
UNIT01346,FAC014,B+,RBC,256,2026-07-19,2026-08-23,22,Available,False
UNIT01347,FAC014,O+,Whole Blood,393,2026-07-27,2026-08-31,30,Reserved,False
UNIT01348,FAC014,B+,RBC,296,2026-07-26,2026-08-30,29,Available,False
UNIT01349,FAC014,AB+,Platelets,60,2026-07-28,2026-08-02,1,Available,True
UNIT01350,FAC014,O+,RBC,275,2026-07-17,2026-08-21,20,Available,False
UNIT01351,FAC014,O-,Platelets,51,2026-07-31,2026-08-05,4,Available,False
UNIT01352,FAC014,B+,RBC,258,2026-07-16,2026-08-20,19,Available,False
UNIT01353,FAC014,B+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT01354,FAC014,B+,Whole Blood,369,2026-07-19,2026-08-23,22,Available,False
UNIT01355,FAC014,B+,Platelets,58,2026-07-31,2026-08-05,4,Available,False
UNIT01356,FAC014,O+,RBC,281,2026-07-24,2026-08-28,27,Available,False
UNIT01357,FAC014,AB-,Platelets,58,2026-07-30,2026-08-04,3,Available,False
UNIT01358,FAC014,A-,Whole Blood,365,2026-06-21,2026-07-26,-6,Expired,False
UNIT01359,FAC014,B+,RBC,252,2026-07-03,2026-08-07,6,Available,True
UNIT01360,FAC014,B+,Platelets,52,2026-07-29,2026-08-03,2,Available,False
UNIT01361,FAC014,AB+,Whole Blood,447,2026-07-21,2026-08-25,24,Available,False
UNIT01362,FAC014,B+,Platelets,58,2026-07-30,2026-08-04,3,Available,False
UNIT01363,FAC014,O+,RBC,253,2026-07-14,2026-08-18,17,Available,False
UNIT01364,FAC014,B+,RBC,293,2026-07-13,2026-08-17,16,Available,False
UNIT01365,FAC014,B+,RBC,252,2026-07-21,2026-08-25,24,Available,False
UNIT01366,FAC014,B+,RBC,251,2026-07-20,2026-08-24,23,Available,False
UNIT01367,FAC014,O+,Platelets,55,2026-07-30,2026-08-04,3,Available,False
UNIT01368,FAC014,O-,RBC,265,2026-07-20,2026-08-24,23,Available,False
UNIT01369,FAC014,B+,RBC,254,2026-07-13,2026-08-17,16,Reserved,False
UNIT01370,FAC014,O+,Whole Blood,391,2026-07-21,2026-08-25,24,Available,False
UNIT01371,FAC014,B+,Platelets,56,2026-07-28,2026-08-02,1,Available,True
UNIT01372,FAC014,B+,Platelets,55,2026-07-30,2026-08-04,3,Available,False
UNIT01373,FAC014,B+,RBC,281,2026-07-21,2026-08-25,24,Available,False
UNIT01374,FAC014,B+,Platelets,60,2026-07-31,2026-08-05,4,Available,False
UNIT01375,FAC014,B+,Platelets,53,2026-07-31,2026-08-05,4,Reserved,False
UNIT01376,FAC014,AB+,Whole Blood,386,2026-07-03,2026-08-07,6,Available,True
UNIT01377,FAC014,B+,RBC,275,2026-06-19,2026-07-24,-8,Expired,False
UNIT01378,FAC014,O+,Platelets,59,2026-07-29,2026-08-03,2,Available,False
UNIT01379,FAC014,B+,RBC,283,2026-07-22,2026-08-26,25,Available,False
UNIT01380,FAC014,AB+,Whole Blood,388,2026-07-20,2026-08-24,23,Available,False
UNIT01381,FAC014,AB-,RBC,262,2026-07-18,2026-08-22,21,Available,False
UNIT01382,FAC014,AB+,RBC,298,2026-07-12,2026-08-16,15,Available,False
UNIT01383,FAC014,O+,Whole Blood,373,2026-07-12,2026-08-16,15,Available,False
UNIT01384,FAC014,O+,Whole Blood,409,2026-07-11,2026-08-15,14,Available,False
UNIT01385,FAC014,B+,Platelets,56,2026-07-30,2026-08-04,3,Available,False
UNIT01386,FAC014,O+,Platelets,55,2026-07-29,2026-08-03,2,Available,False
UNIT01387,FAC014,AB+,Whole Blood,388,2026-07-25,2026-08-29,28,Available,False
UNIT01388,FAC014,O+,RBC,254,2026-07-21,2026-08-25,24,Available,False
UNIT01389,FAC014,O+,RBC,260,2026-07-22,2026-08-26,25,Available,False
UNIT01390,FAC014,B+,Platelets,52,2026-07-31,2026-08-05,4,Available,False
UNIT01391,FAC014,B+,Whole Blood,412,2026-07-05,2026-08-09,8,Available,False
UNIT01392,FAC014,O+,RBC,262,2026-07-18,2026-08-22,21,Reserved,False
UNIT01393,FAC014,B+,Whole Blood,385,2026-07-29,2026-09-02,32,Available,False
UNIT01394,FAC014,O+,Whole Blood,442,2026-07-11,2026-08-15,14,Available,False
UNIT01395,FAC014,AB+,Whole Blood,390,2026-07-28,2026-09-01,31,Reserved,False
UNIT01396,FAC014,O+,Whole Blood,396,2026-06-30,2026-08-04,3,Available,True
UNIT01397,FAC014,O+,Whole Blood,367,2026-07-19,2026-08-23,22,Available,False
UNIT01398,FAC014,B+,Platelets,58,2026-07-29,2026-08-03,2,Reserved,False
UNIT01399,FAC014,O+,Platelets,54,2026-07-27,2026-08-01,0,Reserved,False
UNIT01400,FAC014,AB+,Whole Blood,390,2026-07-23,2026-08-27,26,Available,False
UNIT01401,FAC015,B+,RBC,284,2026-07-02,2026-08-06,5,Available,True
UNIT01402,FAC015,B+,Whole Blood,437,2026-07-21,2026-08-25,24,Available,False
UNIT01403,FAC015,A+,RBC,273,2026-07-01,2026-08-05,4,Reserved,False
UNIT01404,FAC015,B+,RBC,288,2026-07-04,2026-08-08,7,Available,True
UNIT01405,FAC015,A+,Platelets,60,2026-07-29,2026-08-03,2,Reserved,False
UNIT01406,FAC015,A+,Platelets,55,2026-07-30,2026-08-04,3,Available,False
UNIT01407,FAC015,AB+,Platelets,57,2026-07-31,2026-08-05,4,Available,False
UNIT01408,FAC015,B+,RBC,269,2026-06-28,2026-08-02,1,Reserved,False
UNIT01409,FAC015,A+,Whole Blood,370,2026-07-22,2026-08-26,25,Available,False
UNIT01410,FAC015,AB+,Platelets,60,2026-07-30,2026-08-04,3,Available,False
UNIT01411,FAC015,B+,Whole Blood,449,2026-07-22,2026-08-26,25,Available,False
UNIT01412,FAC015,AB+,RBC,271,2026-07-08,2026-08-12,11,Reserved,False
UNIT01413,FAC015,B+,Whole Blood,414,2026-07-04,2026-08-08,7,Available,True
UNIT01414,FAC015,A+,RBC,297,2026-07-13,2026-08-17,16,Available,False
UNIT01415,FAC015,A+,Platelets,60,2026-08-01,2026-08-06,5,Available,False
UNIT01416,FAC015,A+,RBC,275,2026-07-06,2026-08-10,9,Available,False
UNIT01417,FAC015,A+,RBC,260,2026-07-21,2026-08-25,24,Available,False
UNIT01418,FAC015,A+,Platelets,52,2026-07-27,2026-08-01,0,Available,True
